BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
LOS ANGELES,CA,2012,15963551.0,9938436.0,1.61,1,4895014.0,5043422.0,71.64,9.28,1.47,48.12,326586.0,19.1,52929.0,25.95,19.75,26.2,28.05,21.0,69.69,27.83,10.73,0.03
LOS ANGELES,CA,2011,15691254.0,9876727.0,1.59,1,4864955.0,5011772.0,71.76,9.31,1.47,47.99,340483.0,18.4,52239.0,25.95,19.75,26.2,28.05,21.3,69.56,28.08,12.17,0.03
LOS ANGELES,CA,2009,14418442.5,9831945.0,1.47,1,4884420.0,4947525.0,73.86,9.28,1.05,47.6,376777.0,16.0,54375.0,25.95,19.75,26.2,28.05,21.5,69.31,28.57,11.6,0.04
LOS ANGELES,CA,2010,14145124.0,9818605.0,1.44,1,4839654.0,4978951.0,71.87,9.38,1.49,47.74,363182.0,17.6,52595.0,25.95,19.75,26.2,28.05,21.3,69.44,28.32,12.5,0.04
LOS ANGELES,CA,2008,13732484.5,9771522.0,1.41,1,4850989.0,4920533.0,73.86,9.36,1.04,47.24,351757.0,15.3,55452.0,25.95,19.75,26.2,28.05,20.9,69.19,28.82,7.58,0.04
LOS ANGELES,CA,2007,13561927.5,9727968.0,1.39,1,4826136.0,4901832.0,73.87,9.49,1.04,46.89,351757.0,14.6,53494.0,25.95,19.75,26.2,28.05,20.4,67.68,30.52,5.12,0.04
CHARLESTON,SC,2012,12648967.0,364628.0,34.69,4,176608.0,188020.0,67.07,29.46,0.45,5.1,21576.0,18.0,48200.0,13.75,22.75,27.15,36.3,25.0,50.39,48.01,7.13,0.06
LOS ANGELES,CA,2006,11391232.0,9755937.0,1.17,1,4836454.0,4919483.0,73.93,9.6,1.04,46.72,351757.0,15.4,51279.0,25.95,19.75,26.2,28.05,19.6,66.16,32.22,4.78,0.04
CHARLESTON,SC,2011,10265604.0,357315.0,28.73,4,172925.0,184390.0,66.86,29.75,0.46,5.18,21812.0,19.1,49432.0,13.75,22.75,27.15,36.3,26.2,51.18,47.31,8.32,0.06
CHARLESTON,SC,2009,8944955.0,353949.0,25.27,4,171204.0,182745.0,65.57,31.33,0.34,4.0,23585.0,16.4,46145.0,13.75,22.75,27.15,36.3,27.5,52.76,45.91,8.75,0.07
CHARLESTON,SC,2010,8347390.0,350209.0,23.84,4,169871.0,180338.0,66.64,30.02,0.46,5.39,23566.0,18.7,46187.0,13.75,22.75,27.15,36.3,27.7,51.97,46.61,8.79,0.07
ORANGE,CA,2012,5831646.0,3080419.0,1.89,1,1521636.0,1558783.0,74.49,2.01,1.07,33.99,82770.0,13.0,71866.0,17.9,17.4,29.75,34.95,19.8,45.65,51.87,7.87,0.03
ORANGE,CA,2011,5755138.0,3050867.0,1.89,1,1507651.0,1543216.0,74.85,1.99,1.07,33.86,85354.0,13.0,72046.0,17.9,17.4,29.75,34.95,20.7,46.14,51.45,9.03,0.03
SAN BERNARDINO,CA,2012,5225860.0,2074195.0,2.52,2,1032013.0,1042182.0,77.72,9.61,2.01,50.55,79187.0,20.4,50603.0,23.3,25.6,33.25,17.85,28.7,52.47,45.12,11.4,0.04
SAN BERNARDINO,CA,2011,4939755.0,2061040.0,2.4,2,1024361.0,1036679.0,77.75,9.65,2.02,49.97,80723.0,19.4,51017.0,23.3,25.6,33.25,17.85,27.7,52.37,45.28,12.84,0.04
ORANGE,CA,2010,4856028.0,3010232.0,1.61,1,1488780.0,1521452.0,75.3,1.97,1.08,33.65,94081.0,12.2,70727.0,17.9,17.4,29.75,34.95,20.4,46.64,51.03,9.74,0.03
ORANGE,CA,2009,4770640.0,3023265.0,1.58,1,1511217.0,1512048.0,77.59,2.18,0.9,33.22,94727.0,10.7,71735.0,17.9,17.4,29.75,34.95,20.6,47.14,50.61,8.65,0.03
ORANGE,CA,2008,4560149.0,2988541.0,1.53,1,1492613.0,1495928.0,77.87,2.14,0.88,32.72,89233.0,9.9,74862.0,17.9,17.4,29.75,34.95,18.8,47.63,50.19,5.31,0.03
ORANGE,CA,2007,4227175.0,2957307.0,1.43,1,1475709.0,1481598.0,78.17,2.1,0.88,32.21,89233.0,8.9,73107.0,17.9,17.4,29.75,34.95,18.5,45.49,52.59,3.89,0.03
SAN BERNARDINO,CA,2010,4147414.0,2035210.0,2.04,1,1011507.0,1023703.0,77.91,9.67,2.01,49.19,87579.0,18.1,52270.0,23.3,25.6,33.25,17.85,28.2,52.27,45.44,13.54,0.04
SAN BERNARDINO,CA,2009,4110846.0,2011728.0,2.04,1,1015526.0,996202.0,80.35,9.0,1.44,47.9,92672.0,17.0,52137.0,23.3,25.6,33.25,17.85,28.1,52.17,45.59,12.65,0.05
CHARLESTON,SC,2008,3772480.0,348574.0,10.82,4,168593.0,179981.0,65.3,31.65,0.35,3.87,22634.75,15.4,50213.0,13.75,22.75,27.15,36.3,25.9,53.55,45.21,5.31,0.06
ORANGE,CA,2006,3726111.0,2952610.0,1.26,1,1472101.0,1480509.0,78.53,2.07,0.88,32.03,89233.0,9.8,70109.0,17.9,17.4,29.75,34.95,17.8,43.34,54.99,3.4,0.03
SAN BERNARDINO,CA,2008,3718460.0,2001225.0,1.86,1,1009463.0,991762.0,80.5,9.02,1.42,47.43,85040.25,14.7,54768.0,23.3,25.6,33.25,17.85,28.6,52.07,45.75,8.03,0.04
JEFFERSON,AL,2012,3556080.0,657967.0,5.4,3,311430.0,346537.0,54.35,42.68,0.33,3.75,7632.0,18.6,43967.0,14.85,27.35,29.55,28.25,33.7,52.6,46.62,7.41,0.01
JEFFERSON,AL,2011,3366910.0,657973.0,5.12,3,311349.0,346624.0,54.63,42.49,0.35,3.84,0.0,18.7,42053.0,14.85,27.35,29.55,28.25,32.9,52.49,46.73,9.31,0.0
SAN BERNARDINO,CA,2007,3272998.0,1989303.0,1.65,1,1003353.0,985950.0,80.59,9.08,1.42,46.75,85040.25,12.1,55995.0,23.3,25.6,33.25,17.85,27.1,49.95,48.15,5.61,0.04
JEFFERSON,AL,2010,2922930.0,658466.0,4.44,3,311813.0,346653.0,54.92,42.25,0.36,3.87,19528.0,18.6,41740.0,14.85,27.35,29.55,28.25,32.2,52.38,46.84,10.33,0.03
CHARLESTON,SC,2007,2880825.0,343255.0,8.39,3,166223.0,177032.0,64.99,32.02,0.34,3.68,22634.75,15.2,47297.0,13.75,22.75,27.15,36.3,25.5,51.85,46.8,4.36,0.07
SAN BERNARDINO,CA,2006,2843485.0,1970783.0,1.44,1,992912.0,977871.0,80.63,9.18,1.42,45.72,85040.25,13.8,52686.0,23.3,25.6,33.25,17.85,26.6,47.82,50.55,4.81,0.04
CHARLESTON,SC,2006,2759390.0,340333.0,8.11,3,164754.0,175579.0,64.71,32.34,0.33,3.52,22634.75,17.8,43697.0,13.75,22.75,27.15,36.3,24.8,50.16,48.39,5.02,0.07
JEFFERSON,AL,2009,2635160.0,665058.0,3.96,3,314487.0,350571.0,56.84,40.48,0.34,2.98,30639.0,16.5,43312.0,14.85,27.35,29.55,28.25,32.0,52.26,46.96,10.76,0.05
RUTHERFORD,TN,2009,2506490.0,255775.0,9.8,3,126936.0,128839.0,82.68,12.88,0.36,6.01,13880.0,12.4,53983.0,13.7,30.15,28.75,27.35,29.5,39.04,59.54,9.64,0.05
KERN,CA,2012,2492700.0,853963.0,2.92,2,437448.0,416515.0,83.05,6.27,2.63,50.3,40532.0,23.7,45599.0,28.85,26.55,29.95,14.65,28.5,40.41,57.17,12.63,0.05
