BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate,label,color,FEMALE_PER,HSorLess,CollegeorMore
LOS ANGELES,CA,2012,15963551.0,9938436.0,1.61,1,0.49,5043422.0,71.64,9.28,1.47,48.12,326586.0,19.1,52929.0,25.95,19.75,26.2,28.05,21.0,69.69,27.83,10.73,0.03,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2011,15691254.0,9876727.0,1.59,1,0.49,5011772.0,71.76,9.31,1.47,47.99,340483.0,18.4,52239.0,25.95,19.75,26.2,28.05,21.3,69.56,28.08,12.17,0.03,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2009,14418442.5,9831945.0,1.47,1,0.5,4947525.0,73.86,9.28,1.05,47.6,376777.0,16.0,54375.0,25.95,19.75,26.2,28.05,21.5,69.31,28.57,11.6,0.04,1,Blue,0.5,45.7,54.25
LOS ANGELES,CA,2010,14145124.0,9818605.0,1.44,1,0.49,4978951.0,71.87,9.38,1.49,47.74,363182.0,17.6,52595.0,25.95,19.75,26.2,28.05,21.3,69.44,28.32,12.5,0.04,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2008,13732484.5,9771522.0,1.41,1,0.5,4920533.0,73.86,9.36,1.04,47.24,351757.0,15.3,55452.0,25.95,19.75,26.2,28.05,20.9,69.19,28.82,7.58,0.04,1,Blue,0.5,45.7,54.25
LOS ANGELES,CA,2007,13561927.5,9727968.0,1.39,1,0.5,4901832.0,73.87,9.49,1.04,46.89,351757.0,14.6,53494.0,25.95,19.75,26.2,28.05,20.4,67.68,30.52,5.12,0.04,1,Blue,0.5,45.7,54.25
CHARLESTON,SC,2012,12648967.0,364628.0,34.69,4,0.48,188020.0,67.07,29.46,0.45,5.1,21576.0,18.0,48200.0,13.75,22.75,27.15,36.3,25.0,50.39,48.01,7.13,0.06,3,Green,0.52,36.5,63.449999999999996
MARICOPA,AZ,2011,12408569.0,3875065.0,3.2,2,0.49,1959519.0,85.26,5.47,2.63,29.71,161100.0,17.4,50785.0,15.2,22.95,33.2,28.65,22.6,43.84,54.53,8.56,0.04,1,Blue,0.51,38.15,61.85
HARRIS,TX,2007,11912542.0,3909859.0,3.05,2,0.5,1956517.0,73.99,18.5,0.58,37.99,188110.75,16.3,49977.0,22.45,22.45,26.4,28.7,26.0,48.98,50.3,4.08,0.05,1,Blue,0.5,44.9,55.099999999999994
MARICOPA,AZ,2012,11910768.0,3948225.0,3.02,2,0.49,1995803.0,84.93,5.58,2.66,29.9,159723.0,17.4,51442.0,15.2,22.95,33.2,28.65,22.2,43.75,54.48,7.29,0.04,1,Blue,0.51,38.15,61.85
LOS ANGELES,CA,2006,11391232.0,9755937.0,1.17,1,0.5,4919483.0,73.93,9.6,1.04,46.72,351757.0,15.4,51279.0,25.95,19.75,26.2,28.05,19.6,66.16,32.22,4.78,0.04,1,Blue,0.5,45.7,54.25
MARICOPA,AZ,2010,10769670.0,3817117.0,2.82,2,0.49,1928652.0,85.62,5.39,2.61,29.57,168043.0,16.6,50424.0,15.2,22.95,33.2,28.65,22.8,43.94,54.58,9.52,0.04,1,Blue,0.51,38.15,61.85
CHARLESTON,SC,2011,10265604.0,357315.0,28.73,4,0.48,184390.0,66.86,29.75,0.46,5.18,21812.0,19.1,49432.0,13.75,22.75,27.15,36.3,26.2,51.18,47.31,8.32,0.06,1,Blue,0.52,36.5,63.449999999999996
MARICOPA,AZ,2009,10088297.0,4019885.0,2.51,2,0.5,1996661.0,87.57,4.76,2.53,31.28,184166.0,15.1,53284.0,15.2,22.95,33.2,28.65,23.7,44.03,54.64,9.11,0.05,1,Blue,0.5,38.15,61.85
HARRIS,TX,2010,9699100.0,4092459.0,2.37,2,0.5,2055054.0,71.31,19.5,1.14,40.84,200372.0,18.7,50437.0,22.45,22.45,26.4,28.7,28.5,49.92,49.06,8.29,0.05,1,Blue,0.5,44.9,55.099999999999994
HARRIS,TX,2009,9682332.0,4074423.0,2.38,2,0.5,2033472.0,74.03,18.22,0.6,39.3,207539.0,17.1,50577.0,22.45,22.45,26.4,28.7,28.8,50.19,48.94,6.434,0.05,1,Blue,0.5,44.9,55.099999999999994
HARRIS,TX,2011,9624050.0,4179796.0,2.3,2,0.5,2101497.0,71.16,19.49,1.12,41.24,177530.0,19.4,50924.0,22.45,22.45,26.4,28.7,28.2,49.66,49.19,7.86,0.04,1,Blue,0.5,44.9,55.099999999999994
MARICOPA,AZ,2008,9254909.0,3960221.0,2.34,2,0.5,1967029.0,87.82,4.65,2.5,30.87,168258.0,13.4,56511.0,15.2,22.95,33.2,28.65,23.1,44.12,54.69,5.37,0.04,1,Blue,0.5,38.15,61.85
HARRIS,TX,2006,9085770.0,3856396.0,2.36,2,0.5,1932057.0,73.78,18.87,0.57,37.13,188110.75,16.4,47159.0,22.45,22.45,26.4,28.7,24.1,47.51,51.78,5.18,0.05,3,Green,0.5,44.9,55.099999999999994
HARRIS,TX,2008,9070716.0,3981948.0,2.28,2,0.5,1989735.0,74.03,18.33,0.59,38.69,188110.75,15.3,52391.0,22.45,22.45,26.4,28.7,26.7,50.45,48.82,6.434,0.05,1,Blue,0.5,44.9,55.099999999999994
CHARLESTON,SC,2009,8944955.0,353949.0,25.27,4,0.48,182745.0,65.57,31.33,0.34,4.0,23585.0,16.4,46145.0,13.75,22.75,27.15,36.3,27.5,52.76,45.91,8.75,0.07,3,Green,0.52,36.5,63.449999999999996
CHARLESTON,SC,2010,8347390.0,350209.0,23.84,4,0.49,180338.0,66.64,30.02,0.46,5.39,23566.0,18.7,46187.0,13.75,22.75,27.15,36.3,27.7,51.97,46.61,8.79,0.07,3,Green,0.51,36.5,63.449999999999996
CLARK,NV,2011,8226290.0,1962010.0,4.19,3,0.5,976519.0,73.66,11.18,1.15,29.51,117394.0,16.8,48343.0,17.6,29.35,32.75,20.3,24.9,56.93,41.23,13.23,0.06,1,Blue,0.5,46.95,53.05
MARICOPA,AZ,2007,8212032.0,3873280.0,2.12,1,0.5,1924944.0,88.12,4.53,2.45,30.29,168258.0,12.9,54733.0,15.2,22.95,33.2,28.65,22.5,43.67,55.26,3.26,0.04,1,Blue,0.5,38.15,61.85
HARRIS,TX,2012,8205069.0,4264193.0,1.92,1,0.5,2143733.0,70.94,19.52,1.11,41.45,167002.0,18.6,51298.0,22.45,22.45,26.4,28.7,27.4,49.39,49.31,6.76,0.04,1,Blue,0.5,44.9,55.099999999999994
CLARK,NV,2010,8200978.0,1951269.0,4.2,3,0.5,969076.0,74.1,11.06,1.16,29.14,125166.0,15.0,51427.0,17.6,29.35,32.75,20.3,25.1,57.45,40.65,13.75,0.06,1,Blue,0.5,46.95,53.05
CLARK,NV,2012,8190034.0,1989693.0,4.12,3,0.5,990776.0,73.21,11.4,1.16,29.74,108440.0,16.4,49583.0,17.6,29.35,32.75,20.3,25.8,56.42,41.82,11.24,0.05,1,Blue,0.5,46.95,53.05
CLARK,NV,2009,7995970.0,1900064.0,4.21,3,0.51,931318.0,77.43,10.07,1.13,29.17,133769.0,12.4,53512.0,17.6,29.35,32.75,20.3,26.2,57.96,40.06,11.51,0.07,1,Blue,0.49,46.95,53.05
CLARK,NV,2008,7501254.0,1877110.0,4.0,3,0.51,920017.0,77.67,10.01,1.12,28.62,121192.25,11.1,56691.0,17.6,29.35,32.75,20.3,26.0,58.47,39.48,6.64,0.06,1,Blue,0.49,46.95,53.05
ALAMEDA,CA,2009,7266865.0,1489583.0,4.88,3,0.49,753055.0,56.78,12.6,0.83,21.98,55954.0,10.8,68258.0,15.05,18.45,26.65,39.8,20.3,78.78,18.98,10.26,0.04,2,Yellow,0.51,33.5,66.44999999999999
SAN DIEGO,CA,2012,7156400.0,3175201.0,2.25,1,0.5,1580487.0,76.81,5.57,1.32,32.6,96935.0,15.1,60235.0,15.35,19.25,31.95,33.45,20.2,52.58,45.02,9.03,0.03,1,Blue,0.5,34.6,65.4
ALAMEDA,CA,2007,7055820.0,1447863.0,4.87,3,0.49,732784.0,57.06,13.04,0.81,21.29,49617.75,11.0,68263.0,15.05,18.45,26.65,39.8,19.3,77.91,20.27,4.7,0.03,2,Yellow,0.51,33.5,66.44999999999999
SAN DIEGO,CA,2011,7052109.0,3137372.0,2.25,1,0.5,1563836.0,76.99,5.56,1.32,32.38,103474.0,15.2,59290.0,15.35,19.25,31.95,33.45,22.6,52.97,44.75,10.29,0.03,1,Blue,0.5,34.6,65.4
MARICOPA,AZ,2006,6999206.0,3776593.0,1.85,1,0.5,1878125.0,88.44,4.42,2.39,29.48,168258.0,12.5,52522.0,15.2,22.95,33.2,28.65,21.1,43.22,55.83,3.58,0.04,1,Blue,0.5,38.15,61.85
BROWARD,FL,2010,6787538.0,1748066.0,3.88,3,0.48,901495.0,66.9,27.39,0.35,25.07,0.0,14.7,47917.0,14.7,27.8,29.5,28.0,24.1,67.16,32.33,9.298865844544112,0.0,3,Green,0.52,42.5,57.5
CLARK,NV,2007,6763066.0,1836751.0,3.68,3,0.51,901279.0,78.04,9.93,1.11,28.0,121192.25,10.7,55960.0,17.6,29.35,32.75,20.3,24.8,56.77,41.31,4.49,0.07,1,Blue,0.49,46.95,53.05
WAYNE,MI,2012,6566830.0,1795973.0,3.66,3,0.48,932879.0,54.51,40.01,0.46,5.47,54607.0,26.3,39461.0,18.7,30.4,30.85,20.0,33.5,73.04,26.21,11.69,0.03,3,Green,0.52,49.099999999999994,50.85
COOK,IL,2012,6512200.0,5240505.0,1.24,1,0.48,2702596.0,65.79,24.83,0.75,24.41,116783.0,18.0,52160.0,18.05,23.85,25.5,32.6,24.9,74.0,24.63,9.66,0.02,1,Blue,0.52,41.900000000000006,58.1
BROWARD,FL,2009,6270900.0,1765530.0,3.55,3,0.49,897775.0,68.81,25.76,0.4,24.05,0.0,13.0,48772.0,14.7,27.8,29.5,28.0,25.4,67.15,32.36,8.737681398252178,0.0,1,Blue,0.51,42.5,57.5
WAYNE,MI,2011,6249130.0,1803100.0,3.47,3,0.48,936918.0,54.31,40.38,0.46,5.33,54996.0,26.1,38479.0,18.7,30.4,30.85,20.0,34.2,73.31,25.82,12.93,0.03,3,Green,0.52,49.099999999999994,50.85
SAN DIEGO,CA,2010,6136828.0,3095313.0,1.98,1,0.5,1541634.0,77.2,5.58,1.34,32.03,115000.0,14.8,59759.0,15.35,19.25,31.95,33.45,23.1,53.36,44.48,10.77,0.04,1,Blue,0.5,34.6,65.4
SAN DIEGO,CA,2009,6109429.0,3037115.0,2.01,1,0.5,1505233.0,79.54,5.69,1.05,31.59,115386.0,12.5,60103.0,15.35,19.25,31.95,33.45,23.0,53.76,44.22,9.38,0.04,1,Blue,0.5,34.6,65.4
CLARK,NV,2006,6067360.0,1776774.0,3.41,3,0.51,871744.0,78.52,9.85,1.08,27.09,121192.25,10.5,53472.0,17.6,29.35,32.75,20.3,23.1,55.06,43.15,4.0,0.07,1,Blue,0.49,46.95,53.05
